,lat_dd_mod,lon_dd_mod,total_cons_ann,hh_size,cons_pp
56,6.44962796151,38.3196828622,130849.76953125,56,2336.60302734375
57,6.45050353832,39.8802730059,393691.77734375,83,4743.274425828313
58,6.50156734188,37.4709978737,12032.0,1,12032.0
59,6.59328992813,38.4223921387,272270.392578125,36,7563.066460503473
60,6.61699649052,37.4846255397,169404.0283203125,70,2420.057547433036
61,6.63095001102,36.7852027008,317577.5048828125,50,6351.55009765625
62,6.65580676267,38.3245737951,38546.935546875,79,487.9358929984177
63,6.70685847437,37.409545286,125507.30322265625,65,1930.8815880408654
64,6.78301858962,37.5509812536,216259.46484375,60,3604.3244140625
65,6.80310210938,38.5126355838,137549.76025390625,59,2331.3518687102755
66,6.80492958256,35.8646146207,27290.6875,50,545.81375
67,6.8069212678,35.801596385,0.0,62,0.0
68,6.85154345042,37.7801781416,556868.3828125,51,10918.987898284313
69,6.88872100597,37.9522518332,156588.34765625,30,5219.611588541667
70,6.90210116638,37.7348762189,140240.40185546875,47,2983.838337350399
71,6.90990756063,37.774162367,23190.0,6,3865.0
72,6.91156800008,38.4817078008,222342.5615234375,60,3705.7093587239583
73,6.91411343602,35.6303215499,140608.71142578125,61,2305.060843045594
74,6.92495009304,38.3559681101,205731.97119140625,59,3486.9825625662074
75,6.93084850884,38.595896045,225979.84448242188,79,2860.5043605369856
76,6.94302150261,37.2950167052,179494.4541015625,80,2243.6806762695314
77,6.94902910992,35.772021814,298472.6806640625,59,5058.858994306144
78,6.94992604668,37.8864940524,129097.18359375,55,2347.2215198863637
79,6.98359796157,40.3522763184,334761.005859375,43,7785.139671148256
80,6.9854158586,35.5733201529,414038.916015625,45,9200.864800347223
81,6.98589410147,36.4255203181,214745.0390625,40,5368.6259765625
82,7.00349013971,39.1624463866,260198.8251953125,64,4065.606643676758
83,7.0204703088,40.3194889265,68012.640625,4,17003.16015625
84,7.02150110471,38.4874759267,371615.0,41,9063.780487804877
85,7.03041856096,38.4696485423,413654.0,46,8992.478260869566
86,7.03607701317,37.3092790736,171067.099609375,73,2343.384926155822
87,7.04334914578,38.4725189381,520194.00390625,31,16780.45173891129
88,7.05045350209,38.481473729,732449.9482421875,40,18311.24870605469
89,7.05305285634,38.4811126646,995699.302734375,42,23707.12625558036
90,7.05591646117,38.485920377,1996911.962890625,49,40753.30536511479
91,7.0587043433,37.1757686301,299982.466796875,38,7894.275442023027
92,7.06282236274,38.494202114,360811.0,59,6115.440677966101
93,7.06388070898,37.7193022693,631993.203125,73,8657.44113869863
94,7.06498545789,38.4802041202,285631.666015625,40,7140.791650390625
95,7.09517484082,36.6553017363,164755.5615234375,54,3051.0289171006943
96,7.09849246271,39.1906361993,204153.96875,38,5372.472861842105
97,7.09924325001,37.128257018,137374.76513671875,59,2328.3858497748943
98,7.10115660875,40.010966093,346720.810546875,45,7704.906901041667
99,7.11090917192,36.4669773812,390910.9453125,46,8498.064028532608
100,7.14547506346,35.4611988078,117322.0703125,34,3450.649126838235
101,7.14637860111,36.8971397399,179506.48974609375,57,3149.2366622121713
102,7.15974968202,36.836041539,154473.04956054688,49,3152.5112155213646
103,7.1643297276,39.8203710541,291453.02734375,56,5204.518345424107
104,7.17093819418,38.6018861376,568656.5322265625,67,8487.410928754663
105,7.17430039499,37.9492676831,162805.6923828125,75,2170.7425651041667
106,7.18665976435,37.191047131,24856.0,3,8285.333333333334
107,7.19057165925,35.4228308345,136794.2353515625,25,5471.7694140625
