,total_cons_ann,hh_size,lat_dd_mod,lon_dd_mod,cons_pp
1575,19435.919921875,3,10.8585208676,36.8876491238,6478.639973958333
1576,7116.0,5,10.8585208676,36.8876491238,1423.2
1577,7949.0,1,10.8585208676,36.8876491238,7949.0
1578,14468.4482421875,2,10.8585208676,36.8876491238,7234.22412109375
1579,10170.591796875,1,10.8585208676,36.8876491238,10170.591796875
1580,9723.0517578125,1,10.8585208676,36.8876491238,9723.0517578125
1581,7493.9599609375,2,10.8585208676,36.8876491238,3746.97998046875
1582,10806.09375,5,10.9370696143,36.6547551047,2161.21875
1583,8618.89453125,2,10.9370696143,36.6547551047,4309.447265625
1584,16892.0,5,10.9370696143,36.6547551047,3378.4
1585,9553.0,4,10.3608222301,35.9589938306,2388.25
1586,29100.146484375,6,10.9370696143,36.6547551047,4850.0244140625
1587,10851.23828125,2,10.9370696143,36.6547551047,5425.619140625
1588,25096.83203125,4,10.9370696143,36.6547551047,6274.2080078125
1589,,7,10.9370696143,36.6547551047,
1590,12590.1484375,6,10.9370696143,36.6547551047,2098.3580729166665
1591,18461.62890625,8,10.9370696143,36.6547551047,2307.70361328125
1592,22414.986328125,4,10.9370696143,36.6547551047,5603.74658203125
1593,14842.5234375,4,10.9370696143,36.6547551047,3710.630859375
1594,5274.9599609375,1,11.0636624461,37.0703789795,5274.9599609375
1595,10129.23828125,5,11.0636624461,37.0703789795,2025.84765625
1596,10596.267578125,8,11.0636624461,37.0703789795,1324.533447265625
1597,20993.705078125,6,11.0636624461,37.0703789795,3498.9508463541665
1598,21574.830078125,2,11.0636624461,37.0703789795,10787.4150390625
1599,15084.1787109375,4,11.0636624461,37.0703789795,3771.044677734375
1600,21083.29296875,7,11.0636624461,37.0703789795,3011.898995535714
1601,12630.2421875,4,11.0636624461,37.0703789795,3157.560546875
1602,5559.7197265625,1,11.0636624461,37.0703789795,5559.7197265625
1603,3068.79248046875,1,11.0636624461,37.0703789795,3068.79248046875
1604,25901.49609375,6,11.0636624461,37.0703789795,4316.916015625
1605,53772.0,7,11.5649164965,36.4628430612,7681.714285714285
1606,34232.0,10,11.5649164965,36.4628430612,3423.2
1607,23470.0,8,11.5649164965,36.4628430612,2933.75
1608,63476.0,11,11.5649164965,36.4628430612,5770.545454545455
1609,33898.0,9,11.5649164965,36.4628430612,3766.4444444444443
1610,12644.0,3,11.5649164965,36.4628430612,4214.666666666667
1611,33196.3984375,4,10.7206898499,39.8860291278,8299.099609375
1612,62469.5703125,10,10.7206898499,39.8860291278,6246.95703125
1613,13565.572265625,4,10.7206898499,39.8860291278,3391.39306640625
1614,34615.0,4,10.7206898499,39.8860291278,8653.75
1615,24155.0234375,5,10.7206898499,39.8860291278,4831.0046875
1616,10582.0,8,10.7206898499,39.8860291278,1322.75
1617,27181.28515625,5,10.7206898499,39.8860291278,5436.25703125
1618,31782.71484375,7,10.7206898499,39.8860291278,4540.387834821428
1619,10258.28515625,5,10.7206898499,39.8860291278,2051.65703125
1620,76708.1640625,5,10.7206898499,39.8860291278,15341.6328125
1621,25238.572265625,5,10.7206898499,39.8860291278,5047.714453125
1622,29590.0,7,10.7206898499,39.8860291278,4227.142857142857
1623,48602.0,6,11.1136181517,40.017211804,8100.333333333333
1624,49925.0,3,11.1136181517,40.017211804,16641.666666666668
1625,12640.599609375,9,11.1136181517,40.017211804,1404.5110677083333
1626,9749.0400390625,4,11.1136181517,40.017211804,2437.260009765625
1627,15627.599609375,5,11.1136181517,40.017211804,3125.519921875
1628,14239.0009765625,6,11.1136181517,40.017211804,2373.1668294270835
1629,18223.5,4,11.1136181517,40.017211804,4555.875
1630,6913.0400390625,5,11.1136181517,40.017211804,1382.6080078125
1631,26715.0,8,11.1136181517,40.017211804,3339.375
1632,5205.462890625,1,11.1136181517,40.017211804,5205.462890625
1633,7564.599609375,4,11.1136181517,40.017211804,1891.14990234375
1634,8140.4287109375,4,10.5738928409,39.9354279996,2035.107177734375
1635,43486.6171875,7,10.5738928409,39.9354279996,6212.373883928572
1636,23436.0,4,11.09415308,39.7308806471,5859.0
1637,10867.71484375,6,10.5738928409,39.9354279996,1811.2858072916667
1638,8456.744140625,1,10.5738928409,39.9354279996,8456.744140625
1639,15296.0,3,10.5738928409,39.9354279996,5098.666666666667
1640,91044.0,7,10.5738928409,39.9354279996,13006.285714285714
1641,5268.0,1,10.5738928409,39.9354279996,5268.0
1642,14085.0,3,10.5738928409,39.9354279996,4695.0
1643,16164.0,6,10.5738928409,39.9354279996,2694.0
1644,14597.62890625,6,10.5883521237,39.9074958295,2432.9381510416665
1645,10998.0,3,10.5883521237,39.9074958295,3666.0
1646,11496.962890625,1,10.5883521237,39.9074958295,11496.962890625
1647,4856.2861328125,1,10.5883521237,39.9074958295,4856.2861328125
1648,26427.744140625,7,10.5883521237,39.9074958295,3775.392020089286
1649,7542.6572265625,2,10.5883521237,39.9074958295,3771.32861328125
1650,25581.873046875,5,10.5883521237,39.9074958295,5116.374609375
1651,9798.7919921875,3,10.5883521237,39.9074958295,3266.2639973958335
1652,15679.1708984375,6,10.5883521237,39.9074958295,2613.1951497395835
1653,28841.001953125,8,10.5883521237,39.9074958295,3605.125244140625
1654,,1,10.5883521237,39.9074958295,
1655,40248.0,5,11.5896069125,37.3720338047,8049.6
