hhid,totcons,LAT_DD_MOD,LON_DD_MOD
20017,40683.48046875,9.35668119389,12.1731637317
20018,43638.21875,9.35668119389,12.1731637317
20019,53080.875,9.35668119389,12.1731637317
20020,93607.484375,9.35668119389,12.1731637317
20021,47235.36328125,9.33287881009,11.7819675423
20022,130374.1640625,9.33287881009,11.7819675423
20023,35423.16796875,9.33287881009,11.7819675423
20024,48858.0234375,9.33287881009,11.7819675423
20025,44340.92578125,9.33287881009,11.7819675423
20026,61770.3359375,9.33287881009,11.7819675423
20027,63435.5703125,9.33287881009,11.7819675423
20028,72619.109375,9.33287881009,11.7819675423
20029,25903.421875,9.33287881009,11.7819675423
20030,45419.26953125,9.33287881009,11.7819675423
20031,39297.41015625,9.48618293097,11.7394204994
20032,41182.53515625,9.48618293097,11.7394204994
20033,53292.9765625,9.48618293097,11.7394204994
